name,source,gender,wikidata,type
"בית יוסף",csv,M,,way
"בית שמאי",csv,M,,way
ביתוס,csv,M,,way
בלבן,csv,M,,way
"בלום ליאון",csv,M,,way
בלפור,csv,M,,way
בלקינד,csv,M,,way
"בן אביגדור",csv,M,,way
"בן אחיטוב",csv,M,,way
"בן אשר",csv,M,,way
"בן גמליאל",csv,M,,way
"בן דוסא",csv,M,,way
"בן הלל",csv,M,,way
"בן זבארה",csv,M,,way
"בן זומא",csv,M,,way
"בן זכאי",csv,M,,way
"בן חסד",csv,M,,way
"בן ישי",csv,M,,way
"בן סירא",csv,M,,way
"בן סירה יעקב",csv,M,,way
"בן סרוק",csv,M,,way
"בן עזאי",csv,M,,way
"בן עמי",csv,M,,way
"בן פרחיה",csv,M,,way
"בן צבי",csv,M,,way
"בן צדוק אלעזר",csv,M,,way
"בן שמן",csv,M,,way
"בן שפרוט",csv,M,,way
בנבנישתי,csv,M,,way
"בנימין ברגי",csv,M,,way
"בנימין מטודלה",csv,M,,way
בצלאל,csv,M,,way
"בצלאל יפה",csv,M,,way
"בר אילן",csv,M,,way
"בר גיורא",csv,M,,way
"בר הופמן",csv,M,,way
"בר יוחאי",csv,M,,way
"בר כוכבא",csv,M,,way
"ברוך קרוא",csv,M,,way
"ברכיהו הנקדן",csv,M,,way
"ג'ורג' אליוט",csv,M,,way
"גבירטיג מרדכי",csv,M,,way
"גבעת בן יהודה",csv,M,,way
גוטליב,csv,M,,way
"גן מאיר",csv,M,,way
"גן פולק",csv,M,,way
"גרשון ש""ץ",csv,M,,way
"גשר אינשטיין",csv,M,,way
"גשר בר יהודה",csv,M,,way
"גשר ע""ש יצחק מודעי",csv,M,,way
"ד""ר אלי תבין",csv,M,,way
"ד""ר אריה (ליאון) פוחובסקי",csv,M,,way
"ד""ר ארליך",csv,M,,way
"ד""ר בודנהיימר",csv,M,,way
"ד""ר ג'ורג וייז",csv,M,,way
"ד""ר ולבה יואל",csv,M,,way
"ד""ר ולטר מוזס",csv,M,,way
"ד""ר חיים ברודי",csv,M,,way
"ד""ר חיים מנחם בסוק",csv,M,,way
"ד""ר יוסף פומרוק",csv,M,,way
"ד""ר כרמי יוגב",csv,M,,way
"ד""ר שלום לוין",csv,M,,way
דאנטה,csv,M,,way
"דב גרונר",csv,M,,way
"דב האוזנר",csv,M,,way
"דב הוז",csv,M,,relation
"דב כרמי",csv,M,,way
"דב ממזריץ",csv,M,,way
"דבלין אלפרד",csv,M,,way
"דה פיליפ אדיס (אבן זהר)",csv,M,,way
"דוד אבידן",csv,M,,way
"דוד אויסטרך",csv,M,,way
"דוד אלמוג",csv,M,,way
"דוד בוקשפן",csv,M,,way
"דוד בלוך",csv,M,,way
"דוד זליבנסקי",csv,M,,way
"דוד חופשי",csv,M,,way
"דוד חכמי",csv,M,,way
"דוד טריטש",csv,M,,way
"דוד ילין",csv,M,,way
"דוד מרכוס",csv,M,,way
"דוד רוטלוי",csv,M,,way
"דוד רמז",csv,M,,way
"דוד תדהר",csv,M,,way
"דונולו הרופא",csv,M,,way
"דימיטר פשב",csv,M,,way
"דן לנר",csv,M,,way
דניאל,csv,M,,way
"דניאל סמבורסקי",csv,M,,way
"דניאל פריש",csv,M,,way
דרייפוס,csv,M,,way
"דרך אריאל שרון",csv,M,,way
"דרך שלמה",csv,M,,way
"האחים אל-כוויתי",csv,M,,way
"האחים בילסקי",csv,M,,way
"האחים מסלאויטה",csv,M,,way
"האלוף עוזי נרקיס",csv,M,,way
"הארון אל רשיד",csv,M,,way
"הברון הירש",csv,M,,way
"הטיילת ע""ש שלמה להט",csv,M,,way
"הטיילת ע״ש שלמה להט",csv,M,,way
"היהודי זיס",csv,M,,way
"היינריך מנדלסון",csv,M,,way
"הלל הזקן",csv,M,,way
"הלל עמר",csv,M,,way
המגיד,csv,M,,way
"המגיד מדובנא",csv,M,,way
"המלך אלברט",csv,M,,way
